beginning_time_s,candidate,represented_dt_s,maximum_deviation,p95,tail_cells,tail_drained_m3,dynamics_passed,physical_valid,terminal_valid,token,next_available,suggested_dt_s,disposition,error
1.7705995632568374,0,0.0016462659696117043,0.25094103813171387,0.034367680549621582,13873,0.0033006740315252615,0,1,1,0,1,0.0016366583295166492,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,1,0.0016366583295166492,0.25016367435455322,0.034265577793121338,13873,0.0033006725310460896,0,1,1,0,1,0.0016349888173863292,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,2,0.0016349888173863292,0.25002837646447373,0.034263432025909424,13873,0.0033006722703883169,0,1,1,0,1,0.0016346992924809456,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,3,0.0016346992924809456,0.25000495289507096,0.03426516056060791,13873,0.0033006722251070603,0,1,1,0,1,0.0016346486518159509,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,4,0.0016346486518159509,0.25000085464235489,0.034264922142028809,13873,0.0033006722172308151,0,1,1,0,1,0.001634639804251492,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,5,0.001634639804251492,0.25000019712739596,0.034264922142028809,13873,0.0033006722158803441,0,1,1,0,1,0.0016346377087756991,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,6,0.0016346377087756991,0.25000007464089147,0.034264922142028809,13873,0.003300672215490171,0,1,1,0,1,0.0016346367774531245,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7705995632568374,7,0.0016346367774531245,0.25000003508101365,0.034264683723449707,13873,0.003300672215442774,0,1,1,0,1,0.0016346363117918372,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,0,0.0016462659696117043,0.25683993889928503,0.034687995910644531,14648,0.0034894908888256837,0,1,1,0,1,0.0015655156457796693,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,1,0.0015655156457796693,0.25160176475563922,0.034063756465911865,14648,0.0034894938954313998,0,1,1,0,1,0.0015468312194570899,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,2,0.0015468312194570899,0.25036914363174168,0.033926248550415039,14648,0.0034894945919711228,0,1,1,0,1,0.0015425371238961816,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,3,0.0015425371238961816,0.25008480394654442,0.03387761116027832,14648,0.003489494752058995,0,1,1,0,1,0.0015415512025356293,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,4,0.0015415512025356293,0.25001952433775898,0.033857464790344238,14648,0.0034894947888439434,0,1,1,0,1,0.0015413241926580667,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,5,0.0015413241926580667,0.2500042936985396,0.033857464790344238,14648,0.00348949479727947,0,1,1,0,1,0.0015412741340696812,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,6,0.0015412741340696812,0.25000084647694365,0.033858358860015869,14648,0.0034894947991571364,0,1,1,0,1,0.0015412641223520041,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,7,0.0015412641223520041,0.25000040454390327,0.033858656883239746,14648,0.0034894947995457132,0,1,1,0,1,0.0015412593493238091,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7755267315078527,8,0.0015412593493238091,0.25000006700493871,0.033858776092529297,14648,0.0034894947997543431,0,1,1,0,1,0.0015412584180012345,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,0,0.0016462659696117043,0.26444839696019762,0.034400463104248047,17601,0.0050954821901428964,0,1,1,0,1,0.0015019037527963519,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,1,0.0015019037527963519,0.25250780026391029,0.033637821674346924,17601,0.0050954523422064284,0,1,1,0,1,0.0014772579306736588,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,2,0.0014772579306736588,0.25052833557128906,0.033483505249023438,17601,0.0050954472339208093,0,1,1,0,1,0.0014720837352797389,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,3,0.0014720837352797389,0.25011166496494752,0.033455610275268555,17601,0.0050954461610868288,0,1,1,0,1,0.0014709908282384276,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,4,0.0014709908282384276,0.2500227689743042,0.033431053161621094,17601,0.0050954459344785367,0,1,1,0,1,0.0014707678928971291,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,5,0.0014707678928971291,0.25000445932970727,0.033434867858886719,17601,0.0050954458883010704,0,1,1,0,1,0.0014707241207361221,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,6,0.0014707241207361221,0.25000087705137308,0.033435821533203125,17601,0.0050954458792385618,0,1,1,0,1,0.0014707153895869851,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,7,0.0014707153895869851,0.25000018164850935,0.033435463905334473,17601,0.0050954458773908359,0,1,1,0,1,0.0014707135269418359,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7803605218650773,8,0.0014707135269418359,0.2500000987007851,0.033435463905334473,17601,0.0050954458769971083,0,1,1,0,1,0.0014707124792039394,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,0,0.0016462659696117043,0.26922965049743652,0.03439939022064209,19633,0.0065950305189428132,0,1,1,0,1,0.0014516584342345595,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,1,0.0014516584342345595,0.25330483913421631,0.033732891082763672,19633,0.0065950536494041321,0,1,1,0,1,0.0014189659850671887,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,2,0.0014189659850671887,0.25060639204044288,0.033601880073547363,19633,0.0065950575442504239,0,1,1,0,1,0.0014129924820736051,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,3,0.0014129924820736051,0.25011341339595528,0.033561766147613525,19633,0.0065950582562394541,0,1,1,0,1,0.0014118760591372848,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,4,0.0014118760591372848,0.25002121925354004,0.033550500869750977,19633,0.0065950583893537229,0,1,1,0,1,0.0014116670936346054,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,5,0.0014116670936346054,0.25000381469726562,0.033556342124938965,19633,0.00659505841422046,0,1,1,0,1,0.0014116294914856553,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,6,0.0014116294914856553,0.2500007152557373,0.033555328845977783,19633,0.006595058418682004,0,1,1,0,1,0.001411622273735702,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7850952839944512,7,0.001411622273735702,0.25000011920928955,0.033555567264556885,19633,0.0065950584195619442,0,1,1,0,1,0.0014116209931671619,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,0,0.0016462659696117043,0.26950371265411377,0.035861968994140625,21607,0.0076389595394916717,0,1,1,0,1,0.0014425180852413177,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,1,0.0014425180852413177,0.25342478868319973,0.03572237491607666,21607,0.0076389055437523544,0,1,1,0,1,0.0014076064107939601,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,2,0.0014076064107939601,0.25057971263936807,0.035772442817687988,21607,0.0076388962588480229,0,1,1,0,1,0.0014017214998602867,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,3,0.0014017214998602867,0.25009739398956299,0.035785555839538574,21607,0.007638894692676034,0,1,1,0,1,0.0014007333666086197,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,4,0.0014007333666086197,0.25001645088195801,0.035790026187896729,21607,0.0076388944296424763,0,1,1,0,1,0.0014005664270371199,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,5,0.0014005664270371199,0.25000274181365967,0.03579401969909668,21607,0.0076388943852191962,0,1,1,0,1,0.0014005383709445596,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7897059540264308,6,0.0014005383709445596,0.2500004768371582,0.035794615745544434,21607,0.0076388943777414998,0,1,1,0,1,0.001400533365085721,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,0,0.0016462659696117043,0.26349222660064697,0.037823796272277832,23507,0.0080045313784669822,0,1,1,0,1,0.0015049787471070886,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,1,0.0015049787471070886,0.25236095786894586,0.037960171699523926,23507,0.0080045419087134088,0,1,1,0,1,0.001480654813349247,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,2,0.001480654813349247,0.25040115339183799,0.038039624691009521,23507,0.0080045437245003914,0,1,1,0,1,0.001476533361710608,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,3,0.001476533361710608,0.25006783008575439,0.038082003593444824,23507,0.0080045440322256082,0,1,1,0,1,0.0014758367324247956,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,4,0.0014758367324247956,0.25001144409179688,0.03808283805847168,23507,0.0080045440842369964,0,1,1,0,1,0.0014757191529497504,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,5,0.0014757191529497504,0.25000202655792236,0.038083314895629883,23507,0.00800454409301995,0,1,1,0,1,0.0014756983146071434,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7942933400627226,6,0.0014756983146071434,0.2500004768371582,0.038083434104919434,23507,0.0080045440946199722,0,1,1,0,1,0.0014756933087483048,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,0,0.0016462659696117043,0.27140939235687256,0.037867546081542969,24632,0.0069952986435852793,0,1,1,0,1,0.0014119853731244802,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,1,0.0014119853731244802,0.25490260124206543,0.038739919662475586,24632,0.0069952272210003288,0,1,1,0,1,0.001360300462692976,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,2,0.001360300462692976,0.25099374869641,0.039112865924835205,24632,0.0069952113999739995,0,1,1,0,1,0.0013499039923772216,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,3,0.0013499039923772216,0.25019967555999756,0.03921806812286377,24632,0.0069952082147608091,0,1,1,0,1,0.0013478181790560484,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,4,0.0013478181790560484,0.25003994997274126,0.039239466190338135,24632,0.0069952075755453013,0,1,1,0,1,0.0013474009465426207,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,5,0.0013474009465426207,0.25000810623168945,0.039240241050720215,24632,0.0069952074477406751,0,1,1,0,1,0.0013473161961883307,1,production realized manifold deviation exceeds the dynamics-validity bound
1.7990385619923472,6,0.0013473161961883307,0.25000144627984344,0.039242148399353027,24632,0.0069952074218045408,0,1,1,0,1,0.0013473009457811713,1,production realized manifold deviation exceeds the dynamics-validity bound
